[11956:23076:0421/120607.207:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[11956:23076:0421/120607.209:ERROR:persistent_memory_allocator.cc(908)] Corruption detected in shared-memory segment.
[11956:22248:0421/120607.246:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[11956:23076:0421/120607.258:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[21108:24604:0421/120610.324:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-120B7D76A73C106FE87FC1C4A338C6A1 will be ignored
[23228:12004:0421/120735.760:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 7-B74E4BCDA710F94CD6DBA03E397CD741 will be ignored
[11956:23076:0421/150414.099:VERBOSE1:device_event_log_impl.cc(198)] [15:04:14.100] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[11956:21492:0421/150528.899:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=71})
[11956:21492:0421/150529.901:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=70})
[11956:21492:0421/150530.903:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=68})
[11956:21492:0421/150531.902:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=67})
[11956:21492:0421/150534.911:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=66})
[11956:21492:0421/150535.911:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=64})
[11956:21492:0421/150536.954:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=63})
[11956:21492:0421/150537.898:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=64})
[11956:21492:0421/150538.913:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=65})
[11956:21492:0421/150541.904:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=67})
